市区町丁,総合計,凶悪犯計,凶悪犯強盗,凶悪犯その他,粗暴犯計,粗暴犯凶器準備集合,粗暴犯暴行,粗暴犯傷害,粗暴犯脅迫,粗暴犯恐喝,侵入窃盗計,侵入窃盗金庫破り,侵入窃盗学校荒し,侵入窃盗事務所荒し,侵入窃盗出店荒し,侵入窃盗空き巣,侵入窃盗忍込み,侵入窃盗居空き,侵入窃盗その他,非侵入窃盗計,非侵入窃盗自動車盗,非侵入窃盗オートバイ盗,非侵入窃盗自転車盗,非侵入窃盗車上ねらい,非侵入窃盗自販機ねらい,非侵入窃盗工事場ねらい,非侵入窃盗すり,非侵入窃盗ひったくり,非侵入窃盗置引き,非侵入窃盗万引き,非侵入窃盗その他,その他計,その他詐欺,その他占有離脱物横領,その他その他知能犯,その他賭博,その他その他刑法犯
千代田区丸の内１丁目,119,0,0,0,15,0,13,2,0,0,0,0,0,0,0,0,0,0,0,87,0,0,1,0,1,0,17,0,10,32,26,17,5,5,3,0,4
千代田区丸の内２丁目,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,2,0,0,7,5,3,1,2,0,0,0
千代田区丸の内３丁目,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0
千代田区大手町１丁目,20,0,0,0,4,0,3,1,0,0,1,0,0,0,0,0,0,0,1,8,0,0,2,0,0,0,0,0,0,2,4,7,1,1,0,0,5
千代田区大手町２丁目,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,1,2,1,0,0,0,1
千代田区内幸町１丁目,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3
千代田区有楽町１丁目,35,0,0,0,7,0,3,4,0,0,0,0,0,0,0,0,0,0,0,26,0,0,1,0,0,0,1,0,7,6,11,2,0,0,0,0,2
千代田区有楽町２丁目,40,1,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,24,4,8,6,0,0,0,2
千代田区霞が関１丁目,9,1,0,1,4,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,2
千代田区霞が関２丁目,4,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
